found_mc_x,found_mc_y,another_mc_x,another_mc_y,real_mc_x,real_mc_y
8.240000000000000000e+02,4.320000000000000000e+02,8.360000000000000000e+02,4.230000000000000000e+02,8.240977065789247717e+02,4.321012594670701787e+02
6.790000000000000000e+02,5.140000000000000000e+02,7.080000000000000000e+02,5.060000000000000000e+02,7.077338085608597567e+02,5.056315544872501277e+02
6.650000000000000000e+02,5.310000000000000000e+02,6.780000000000000000e+02,5.050000000000000000e+02,6.779829125826138352e+02,5.045842802399337756e+02
6.800000000000000000e+02,4.540000000000000000e+02,7.040000000000000000e+02,4.410000000000000000e+02,6.801222791083050652e+02,4.545346516805414581e+02
7.590000000000000000e+02,4.260000000000000000e+02,7.380000000000000000e+02,4.410000000000000000e+02,7.585865697545464172e+02,4.260468130726555387e+02
8.290000000000000000e+02,4.740000000000000000e+02,8.140000000000000000e+02,4.720000000000000000e+02,8.185529146076358984e+02,4.717637002686250867e+02
6.590000000000000000e+02,4.980000000000000000e+02,6.680000000000000000e+02,4.650000000000000000e+02,6.677808032073314735e+02,4.653025039310667808e+02
8.460000000000000000e+02,4.640000000000000000e+02,8.250000000000000000e+02,4.800000000000000000e+02,8.254643030206830190e+02,4.798897849728224969e+02
7.820000000000000000e+02,5.150000000000000000e+02,7.610000000000000000e+02,5.300000000000000000e+02,7.612927246049538326e+02,5.299146450656592151e+02
5.690000000000000000e+02,6.480000000000000000e+02,5.880000000000000000e+02,6.230000000000000000e+02,5.886489566863922391e+02,6.231408258342175941e+02
7.130000000000000000e+02,3.850000000000000000e+02,7.440000000000000000e+02,3.620000000000000000e+02,7.125162534520063673e+02,3.848820322007123877e+02
7.090000000000000000e+02,3.650000000000000000e+02,7.420000000000000000e+02,3.550000000000000000e+02,7.090493482945405503e+02,3.645981703486575043e+02
7.480000000000000000e+02,4.460000000000000000e+02,7.390000000000000000e+02,4.580000000000000000e+02,7.418601233899667022e+02,4.543990963239059511e+02
7.110000000000000000e+02,3.800000000000000000e+02,6.790000000000000000e+02,4.000000000000000000e+02,6.790511827999348498e+02,3.996407226463492179e+02
7.070000000000000000e+02,5.650000000000000000e+02,6.870000000000000000e+02,5.690000000000000000e+02,6.873040607480213566e+02,5.689133827668675849e+02
7.370000000000000000e+02,5.060000000000000000e+02,7.310000000000000000e+02,5.210000000000000000e+02,7.314745137475291585e+02,5.213114627184621668e+02
6.260000000000000000e+02,3.370000000000000000e+02,6.390000000000000000e+02,3.060000000000000000e+02,6.260781006653473924e+02,3.366833611911769140e+02
6.460000000000000000e+02,4.830000000000000000e+02,6.710000000000000000e+02,4.610000000000000000e+02,6.710028835457395644e+02,4.607865719964491404e+02
6.160000000000000000e+02,5.410000000000000000e+02,6.370000000000000000e+02,5.280000000000000000e+02,6.373301329813658640e+02,5.276202364162555796e+02
6.620000000000000000e+02,3.520000000000000000e+02,6.740000000000000000e+02,3.430000000000000000e+02,6.687956675159008455e+02,3.461107887810713919e+02
7.380000000000000000e+02,4.480000000000000000e+02,7.380000000000000000e+02,4.630000000000000000e+02,7.382111691106950957e+02,4.475713298488244618e+02
6.820000000000000000e+02,4.850000000000000000e+02,7.050000000000000000e+02,4.540000000000000000e+02,6.818348463152574368e+02,4.848298019673954968e+02
7.820000000000000000e+02,4.860000000000000000e+02,7.880000000000000000e+02,5.000000000000000000e+02,7.844820614034932760e+02,4.930610882191322162e+02
8.390000000000000000e+02,5.530000000000000000e+02,8.260000000000000000e+02,5.610000000000000000e+02,8.390365970189722020e+02,5.529828708127265600e+02
6.620000000000000000e+02,3.360000000000000000e+02,6.710000000000000000e+02,3.480000000000000000e+02,6.686056417884502707e+02,3.444066054211357368e+02
6.570000000000000000e+02,4.940000000000000000e+02,6.580000000000000000e+02,5.090000000000000000e+02,6.585514197938822463e+02,5.006559798890502293e+02
7.590000000000000000e+02,4.510000000000000000e+02,7.690000000000000000e+02,4.350000000000000000e+02,7.586329047246299524e+02,4.510334402943360601e+02
7.160000000000000000e+02,4.390000000000000000e+02,7.060000000000000000e+02,4.570000000000000000e+02,7.163299041313480302e+02,4.392944647117855084e+02
6.970000000000000000e+02,4.550000000000000000e+02,6.960000000000000000e+02,4.960000000000000000e+02,6.967790753363722160e+02,4.548978387547437023e+02
6.850000000000000000e+02,4.170000000000000000e+02,6.600000000000000000e+02,4.250000000000000000e+02,6.605054603474158057e+02,4.248591360586198675e+02
6.380000000000000000e+02,4.830000000000000000e+02,5.950000000000000000e+02,4.950000000000000000e+02,6.379496281328125633e+02,4.830754378991177305e+02
7.920000000000000000e+02,5.550000000000000000e+02,8.010000000000000000e+02,5.670000000000000000e+02,7.973979165558685054e+02,5.640335887068343936e+02
6.510000000000000000e+02,6.230000000000000000e+02,6.430000000000000000e+02,6.490000000000000000e+02,6.510810058804294158e+02,6.234322320629437399e+02
7.620000000000000000e+02,4.910000000000000000e+02,7.350000000000000000e+02,5.040000000000000000e+02,7.353793362277446022e+02,5.035530092902146748e+02
7.740000000000000000e+02,3.770000000000000000e+02,7.890000000000000000e+02,3.770000000000000000e+02,7.804912278770882494e+02,3.768962918372458262e+02
7.140000000000000000e+02,5.230000000000000000e+02,7.010000000000000000e+02,5.310000000000000000e+02,7.041059274691062910e+02,5.286572648768953968e+02
8.870000000000000000e+02,4.340000000000000000e+02,8.870000000000000000e+02,4.490000000000000000e+02,8.875622620032931991e+02,4.386337630201053344e+02
