avg_err,r_error,t_error
2.221817576726332e-05,6.14406648975293e-08,2.0297684805068585e-07
1.967298188572322e-05,8.114311072641278e-08,6.900967007851846e-07
1.4991583353821308e-05,5.5727436500182034e-08,3.662060712676897e-07
1.9318547397365927e-05,1.9322391429269705e-08,4.179535068501915e-07
1.5965489492339562e-05,9.993972148258055e-09,2.4747330054284064e-07
1.8337227054763152e-05,5.1323841023428934e-08,3.98771428692992e-07
1.908865968365444e-05,9.491898245559509e-08,4.4085090326582506e-07
1.906595288691356e-05,4.855462796806216e-08,1.6741322681343805e-07
2.353647733021365e-05,1.4297723970708528e-08,3.391157615191302e-08
2.4552228580947232e-05,4.7312141918861145e-08,3.6605455785229523e-07
1.4343575378312649e-05,3.3979396420609413e-08,3.390688464465444e-07
2.3501281127159103e-05,2.7507082792093903e-08,1.860672064103609e-07
1.84832807282158e-05,8.190336023696547e-08,4.1949549298490013e-07
1.899575020728216e-05,7.175113478912717e-08,3.075721771005583e-07
1.8866290194006915e-05,3.580467708826107e-08,2.441081459723674e-07
2.4953319104824592e-05,5.315886816304538e-08,2.0232611848396266e-07
2.666099988019741e-05,3.4935442182633045e-08,6.530411596151216e-07
2.117921628260225e-05,4.264059700596927e-08,1.5676450735896669e-07
1.8338464137791554e-05,2.294731994340588e-08,8.111755631610314e-08
2.294087899140891e-05,4.140110375767626e-08,2.006599125045185e-07
2.017544341816689e-05,7.067043746020816e-08,3.321378114755514e-07
2.099029270208869e-05,3.501717255683064e-08,1.5386751167966118e-07
1.9969931159613084e-05,4.2945412515630325e-08,3.2078519472533786e-07
2.3985691312871187e-05,3.097945676539146e-08,1.1400516393474869e-07
2.810894742501862e-05,3.384691350953065e-08,1.1489719737398878e-07
1.948979631673742e-05,5.4093574014120765e-08,1.665154323624958e-07
2.5261396655595608e-05,3.7256698578542426e-08,1.599835191060344e-07
1.7766197508491355e-05,2.7921098849101733e-08,1.912309720260741e-07
2.6071548826245e-05,6.393707890474218e-08,4.552231111508305e-07
1.841354950760145e-05,3.4801433543290285e-08,1.842281891687669e-07
2.09132190416162e-05,2.1652023540160784e-08,7.560113604494426e-08
2.2685305905872374e-05,5.40121746726033e-08,2.890599748321036e-07
1.947939169706789e-05,6.053468047322649e-08,2.490236582504322e-07
1.8140327094317244e-05,2.1424845895865292e-08,4.1949741581009176e-08
1.7355761527307968e-05,8.676069801483281e-08,3.276375177129823e-07
2.248408110704416e-05,4.601910400789867e-08,1.4203715693848196e-07
1.893087064105608e-05,6.090426429227976e-08,2.875831764793444e-07
1.9907438404299948e-05,1.9039767559728936e-08,3.307743749970902e-07
2.036796807440855e-05,3.571622191384148e-08,3.233635902511568e-07
1.856537955828216e-05,2.988622799520662e-08,3.213576990451755e-07
2.389970905231604e-05,4.173355577615716e-08,5.153258487323053e-07
1.816047534463493e-05,3.0065717561833425e-08,3.085108368948174e-07
1.7947793248484236e-05,6.278912246304166e-08,2.1480033778115562e-07
1.881752819753404e-05,5.4518988486914576e-08,3.1089338803856505e-07
1.6252557558517327e-05,5.210587149829447e-08,2.906390627387833e-07
2.397633860981637e-05,4.3913895950755296e-08,4.06492379193566e-07
2.1048989006008748e-05,5.1722001422752935e-08,1.1457941967681096e-07
2.4895728716954947e-05,4.8833799193125555e-08,3.474410531688201e-07
1.8463499540578e-05,3.4017039224928575e-08,1.7781690345485217e-07
2.221817576726332e-05,6.14406648975293e-08,2.0297684805068585e-07
1.967298188572322e-05,8.114311072641278e-08,6.900967007851846e-07
1.4991583353821308e-05,5.572743650018203e-08,3.662060712676897e-07
1.9088659683654437e-05,9.491898245559507e-08,4.4085090326582506e-07
1.9318547397365927e-05,1.9322391429269705e-08,4.179535068501915e-07
1.5965489492339562e-05,9.993972148258055e-09,2.4747330054284064e-07
1.8337227054763152e-05,5.132384102342893e-08,3.98771428692992e-07
1.4343575378312649e-05,3.3979396420609413e-08,3.3906884644654436e-07
1.906595288691356e-05,4.8554627968062154e-08,1.6741322681343805e-07
1.84832807282158e-05,8.190336023696547e-08,4.1949549298490013e-07
2.3536477330213654e-05,1.4297723970708527e-08,3.391157615191302e-08
2.3501281127159103e-05,2.7507082792093903e-08,1.860672064103609e-07
2.4552228580947232e-05,4.731214191886114e-08,3.6605455785229523e-07
1.899575020728216e-05,7.175113478912716e-08,3.075721771005583e-07
1.8866290194006915e-05,3.580467708826107e-08,2.441081459723674e-07
1.8338464137791554e-05,2.2947319943405877e-08,8.111755631610314e-08
2.099029270208869e-05,3.501717255683064e-08,1.5386751167966118e-07
2.0175443418166892e-05,7.067043746020815e-08,3.321378114755514e-07
1.9969931159613084e-05,4.294541251563032e-08,3.2078519472533786e-07
2.117921628260225e-05,4.264059700596927e-08,1.5676450735896669e-07
2.4953319104824592e-05,5.315886816304538e-08,2.0232611848396266e-07
2.666099988019741e-05,3.4935442182633045e-08,6.530411596151216e-07
2.294087899140891e-05,4.140110375767626e-08,2.006599125045185e-07
2.810894742501862e-05,3.384691350953065e-08,1.1489719737398875e-07
2.3985691312871187e-05,3.097945676539146e-08,1.1400516393474869e-07
1.948979631673742e-05,5.409357401412076e-08,1.665154323624958e-07
1.8413549507601454e-05,3.480143354329028e-08,1.842281891687669e-07
1.7766197508491355e-05,2.792109884910173e-08,1.9123097202607406e-07
2.5261396655595608e-05,3.725669857854242e-08,1.5998351910603438e-07
2.6071548826245e-05,6.393707890474218e-08,4.5522311115083045e-07
2.09132190416162e-05,2.1652023540160784e-08,7.560113604494426e-08
2.2685305905872374e-05,5.40121746726033e-08,2.890599748321036e-07
1.9479391697067892e-05,6.053468047322648e-08,2.490236582504322e-07
1.7355761527307968e-05,8.676069801483281e-08,3.276375177129823e-07
2.248408110704416e-05,4.601910400789867e-08,1.4203715693848196e-07
1.8140327094317244e-05,2.142484589586529e-08,4.194974158100917e-08
1.893087064105608e-05,6.090426429227976e-08,2.8758317647934433e-07
2.036796807440855e-05,3.571622191384148e-08,3.233635902511568e-07
1.816047534463493e-05,3.0065717561833425e-08,3.085108368948174e-07
1.856537955828216e-05,2.988622799520662e-08,3.213576990451755e-07
1.9907438404299948e-05,1.9039767559728936e-08,3.307743749970902e-07
1.7947793248484236e-05,6.278912246304166e-08,2.1480033778115562e-07
2.3899709052316037e-05,4.173355577615716e-08,5.153258487323053e-07
1.881752819753404e-05,5.4518988486914576e-08,3.1089338803856505e-07
2.1048989006008748e-05,5.172200142275293e-08,1.1457941967681096e-07
2.397633860981637e-05,4.3913895950755296e-08,4.06492379193566e-07
1.6252557558517327e-05,5.210587149829447e-08,2.906390627387833e-07
2.4895728716954947e-05,4.883379919312555e-08,3.474410531688201e-07
1.8463499540577997e-05,3.401703922492857e-08,1.7781690345485217e-07
1.5694183694004864e-05,2.510162948956228e-08,1.7489398139642398e-07
